date, - values, - uncertainties
1985-06-30,8.108900240504203,0.016011084386961742
1986-06-30,8.109020233154297,0.0164616871625185
1987-06-30,8.107590675354004,0.01600729487836361
1988-06-30,8.10359849621802,0.014574738510166893
1989-06-30,8.103391647338867,0.015003046952188015
1990-06-30,8.102387428283691,0.01475568674504757
1991-06-30,8.101377487182617,0.01470344327390194
1992-06-30,8.100578308105469,0.014501448720693588
1993-06-30,8.099256636432168,0.01352386780773246
1994-06-30,8.098081588745117,0.014246031641960144
1995-06-30,8.095368528741481,0.013150012352731924
1996-06-30,8.094435691833496,0.013762420043349266
1997-06-30,8.093821692475439,0.012970052693640412
1998-06-30,8.090933799743652,0.013696874491870403
1999-06-30,8.088260650634766,0.013500130735337734
2000-06-30,8.086795224723197,0.012634034695888668
2001-06-30,8.085930824279785,0.013269264250993729
2002-06-30,8.084413584270514,0.012451136680025883
2003-06-30,8.08240093001752,0.012373873458331528
2004-06-30,8.080908327980659,0.01232860083878864
2005-06-30,8.079414367675781,0.01301738154143095
2006-06-30,8.077366550205122,0.012302228734557297
2007-06-30,8.075752258300781,0.012999129481613636
2008-06-30,8.074050903320312,0.013007019646465778
2009-06-30,8.073098182678223,0.013004847802221775
2010-06-30,8.07078442657159,0.012407599102500319
2011-06-30,8.069220542907715,0.013111872598528862
2012-06-30,8.067682266235352,0.012977797538042068
2013-06-30,8.064709608358157,0.012393210509991323
2014-06-30,8.063548999777746,0.012425811804453383
2015-06-30,8.06289291381836,0.013229350559413433
2016-06-30,8.059906959533691,0.013484491966664791
2017-06-30,8.056254679942388,0.013003421944879601
2018-06-30,8.054286526416151,0.013192309119009512
2019-06-30,8.053485870361328,0.014006027020514011
2020-06-30,8.051399230957031,0.014199867844581604
2021-06-30,8.049205780029297,0.014595083892345428
2022-06-30,8.045887660182304,0.01402803174677887
2023-06-30,8.043946151575819,0.015015781814465909
2024-06-30,8.040817702895874,0.015542935334909469
