project,dataset,ECS,dT
CMIP5,ACCESS1-0,3.83,
CMIP5,ACCESS1-3,3.53,
CMIP5,BNU-ESM,3.92,
CMIP5,CCSM4,2.94,
CMIP5,CNRM-CM5,3.25,
CMIP5,CNRM-CM5-2,3.44,
CMIP5,CSIRO-Mk3-6-0,4.08,
CMIP5,CanESM2,3.69,
CMIP5,FGOALS-g2,3.38,
CMIP5,GFDL-CM3,3.97,
CMIP5,GFDL-ESM2G,2.39,
CMIP5,GFDL-ESM2M,2.44,
CMIP5,GISS-E2-H,2.31,
CMIP5,GISS-E2-R,2.11,
CMIP5,HadGEM2-ES,4.61,
CMIP5,IPSL-CM5A-LR,4.13,
CMIP5,IPSL-CM5A-MR,4.12,
CMIP5,IPSL-CM5B-LR,2.60,
CMIP5,MIROC-ESM,4.67,
CMIP5,MIROC5,2.72,
CMIP5,MPI-ESM-LR,3.63,
CMIP5,MPI-ESM-MR,3.46,
CMIP5,MPI-ESM-P,3.45,
CMIP5,MRI-CGCM3,2.60,
CMIP5,NorESM1-M,2.80,
CMIP5,bcc-csm1-1,2.83,
CMIP5,bcc-csm1-1-m,2.86,
CMIP5,inmcm4,2.08,
CMIP6,ACCESS-CM2,4.72,
CMIP6,ACCESS-ESM1-5,3.87,
CMIP6,AWI-CM-1-1-MR,3.16,
CMIP6,BCC-CSM2-MR,3.04,
CMIP6,BCC-ESM1,3.26,
CMIP6,CAMS-CSM1-0,2.29,
CMIP6,CAS-ESM2-0,3.51,
CMIP6,CESM2,5.16,
CMIP6,CESM2-FV2,5.14,
CMIP6,CESM2-WACCM,4.75,
CMIP6,CESM2-WACCM-FV2,4.79,
CMIP6,CMCC-CM2-SR5,3.52,
CMIP6,CNRM-CM6-1,4.83,
CMIP6,CNRM-CM6-1-HR,4.28,
CMIP6,CNRM-ESM2-1,4.76,
CMIP6,CanESM5,5.62,
CMIP6,E3SM-1-0,5.32,
CMIP6,EC-Earth3-Veg,4.31,
CMIP6,FGOALS-f3-L,3.00,
CMIP6,FGOALS-g3,2.88,
CMIP6,GISS-E2-1-G,2.72,
CMIP6,GISS-E2-1-H,3.11,
CMIP6,HadGEM3-GC31-LL,5.55,
CMIP6,HadGEM3-GC31-MM,5.42,
CMIP6,INM-CM4-8,1.83,
CMIP6,INM-CM5-0,1.92,
CMIP6,IPSL-CM6A-LR,4.56,
CMIP6,KACE-1-0-G,4.48,
CMIP6,MCM-UA-1-0,3.65,
CMIP6,MIROC-ES2L,2.68,
CMIP6,MIROC6,2.61,
CMIP6,MPI-ESM-1-2-HAM,2.96,
CMIP6,MPI-ESM1-2-HR,2.98,
CMIP6,MPI-ESM1-2-LR,3.00,
CMIP6,MRI-ESM2-0,3.15,
CMIP6,NESM3,4.72,
CMIP6,NorCPM1,3.05,
CMIP6,NorESM2-LM,2.54,
CMIP6,NorESM2-MM,2.50,
CMIP6,SAM0-UNICON,3.72,
CMIP6,TaiESM1,4.31,
CMIP6,UKESM1-0-LL,5.34,
