project,dataset,TCR,dT,
CMIP6,ACCESS-CM2,2.103303179,,
CMIP6,ACCESS-ESM1-5,1.947883383,,
CMIP6,AWI-CM-1-1-MR,2.059389241,,
CMIP6,BCC-CSM2-MR,1.716357157,,
CMIP6,BCC-ESM1,1.774161624,,
CMIP6,CAMS-CSM1-0,1.733937018,,
CMIP6,CAS-ESM2-0,2.039511182,,
CMIP6,CESM2,2.063891254,,
CMIP6,CESM2-FV2,2.051849997,,
CMIP6,CESM2-WACCM,1.980876703,,
CMIP6,CESM2-WACCM-FV2,2.007727232,,
CMIP6,CIESM,2.389471556,,
CMIP6,CMCC-CM2-SR5,2.087605945,,
CMIP6,CNRM-CM6-1,2.140383002,,
CMIP6,CNRM-CM6-1-HR,2.481214304,,
CMIP6,CNRM-ESM2-1,1.857803599,,
CMIP6,CanESM5,2.741122298,,
CMIP6,E3SM-1-0,2.993309534,,
CMIP6,EC-Earth3,2.295921105,,
CMIP6,EC-Earth3-Veg,2.621309748,,
CMIP6,FGOALS-f3-L,1.937046771,,
CMIP6,FGOALS-g3,1.538017187,,
CMIP6,FIO-ESM-2-0,2.219731391,,
CMIP6,GISS-E2-1-G,1.798197855,,
CMIP6,GISS-E2-1-H,1.927704288,,
CMIP6,GISS-E2-2-G,1.713567769,,
CMIP6,HadGEM3-GC31-LL,2.55088646,,
CMIP6,HadGEM3-GC31-MM,2.577211654,,
CMIP6,IITM-ESM,1.705494769,,
CMIP6,INM-CM4-8,1.331221467,,
CMIP6,IPSL-CM6A-LR,2.315928486,,
CMIP6,KACE-1-0-G,1.4065456,,
CMIP6,MCM-UA-1-0,1.936770399,,
CMIP6,MIROC-ES2L,1.553473834,,
CMIP6,MIROC6,1.552115792,,
CMIP6,MPI-ESM-1-2-HAM,1.801836562,,
CMIP6,MPI-ESM1-2-HR,1.664054446,,
CMIP6,MPI-ESM1-2-LR,1.838923116,,
CMIP6,MRI-ESM2-0,1.63653498,,
CMIP6,NESM3,2.717371234,,
CMIP6,NorCPM1,1.556743578,,
CMIP6,NorESM2-LM,1.476160766,,
CMIP6,NorESM2-MM,1.332752208,,
CMIP6,SAM0-UNICON,2.265102684,,
CMIP6,TaiESM1,2.343338225,,
CMIP6,UKESM1-0-LL,2.788430897,,
,,,,
